old_literal_sha256	replacement	affected_paths	affected_commit_count	classification	provenance
fd0f813f74b0b79d49b07d23a1e52d6eb1f65a2f99627858d2fa1c21520ed8f8	workspace/OpenGGF	bizhawk/README.md,bizhawk/run_bizhawk_lua.bat	2	workspace-path-default	approved exact-literal developer-path redaction (OpenGGF plan 3fd4813b978fce198b5e24be2f71c26f28d37c87)
c82c72e9d5e9dbe944c6f136a4f9dc59d6fa45f70bebb8fa7e9437daeeee07c8	workspace/feos	bizhawk-headless/tests/GpgxAudioObserverSourceLockTests.cs	1	workspace-path-default	approved exact-literal developer-path redaction (OpenGGF plan 3fd4813b978fce198b5e24be2f71c26f28d37c87)
311759bdc96258a5c75a0e8457036e8e4a9f3df087e0ae4cbba6fc97d9274597	trace_output/debug_s2_endact_inputs.txt	bizhawk/debug_s2_endact_inputs.lua	1	output-path-default	approved exact-literal developer-path redaction (OpenGGF plan 3fd4813b978fce198b5e24be2f71c26f28d37c87)
1ef3d1f44708ad55c7e19f056bef831867549986448f4906ff3ead0448f6d250	trace_output/debug_s2_tails_despawn.txt	bizhawk/debug_s2_tails_despawn.lua	1	output-path-default	approved exact-literal developer-path redaction (OpenGGF plan 3fd4813b978fce198b5e24be2f71c26f28d37c87)
1abfa535d17dce46c4427a4e2c7bb167c535a6bfdfc19aea4bc1e26a88703efd	trace_output/level_map.txt	bizhawk/s1_level_map.lua	1	output-path-default	approved exact-literal developer-path redaction (OpenGGF plan 3fd4813b978fce198b5e24be2f71c26f28d37c87)
c5e32e8bc49166c1b0be600e2f3c521968f5a9cdfeee37677a0aadb42930fcdb	trace_output/ooz_tails_push.txt	bizhawk/diag_s2_ooz_tails_push.lua	1	output-path-default	approved exact-literal developer-path redaction (OpenGGF plan 3fd4813b978fce198b5e24be2f71c26f28d37c87)
250e7de01c2ee1e18c309896b3bfdf7aac93e0b08e0f3bf0db9f27e44fa0957f	trace_output/s1_bounce.txt	bizhawk/diag_s1_bounce.lua	1	output-path-default	approved exact-literal developer-path redaction (OpenGGF plan 3fd4813b978fce198b5e24be2f71c26f28d37c87)
368aed00bbaea45573be5af31ef0faf64be3e5022971ebc00638b49c9cd85016	trace_output/s1_plat.txt	bizhawk/diag_s1_plat.lua	1	output-path-default	approved exact-literal developer-path redaction (OpenGGF plan 3fd4813b978fce198b5e24be2f71c26f28d37c87)
c57ab95c95821989c0f57db4d2d09cbf03bd2b962bba3a4397a9a038832ee3c8	trace_output/s1_plat_gate.txt	bizhawk/diag_s1_plat_gate.lua	1	output-path-default	approved exact-literal developer-path redaction (OpenGGF plan 3fd4813b978fce198b5e24be2f71c26f28d37c87)
9bd31aa15d6012a0aa1108119cb73c697ee45b3dddc89c25ff82e3a8ce810da7	trace_output/s1_ypos_writes.txt	bizhawk/diag_s1_ypos_writes.lua	1	output-path-default	approved exact-literal developer-path redaction (OpenGGF plan 3fd4813b978fce198b5e24be2f71c26f28d37c87)
e410a245d18cd0e64476e26449c7194e3655ec1b9af30a4e72030b24eedad93e	trace_output/s2_ooz_pform.txt	bizhawk/diag_s2_ooz_pform.lua	1	output-path-default	approved exact-literal developer-path redaction (OpenGGF plan 3fd4813b978fce198b5e24be2f71c26f28d37c87)
2a7d4dbe721d9d35ca24895918b0e37136755d2500a2f687a7331c1af8f57fbb	.dependencies\\BizHawk-2.11-win-x64\\EmuHawk.exe	bizhawk/record_trace.bat,bizhawk/run_bizhawk_lua.bat	3	dependency-path-default	approved exact-literal developer-path redaction (OpenGGF plan 3fd4813b978fce198b5e24be2f71c26f28d37c87)
3e003879fb405c80759aadaf77d37db168e6433ba9a8022b81b72cf116050efb	.dependencies\\BizHawk-2.11-win-x64\\config.ini	bizhawk/run_bizhawk_lua.bat	1	dependency-path-default	approved exact-literal developer-path redaction (OpenGGF plan 3fd4813b978fce198b5e24be2f71c26f28d37c87)
5e6cb8647de7a1dd4f0ce015cef7f9126a37820bc76240fd930f115d9d166dfe	.dependencies\\BizHawk-2.11-win-x64\\EmuHawk.exe	bizhawk/record_s2_trace.bat,bizhawk/record_s3k_trace.bat,bizhawk/record_trace.bat	4	dependency-path-default	approved exact-literal developer-path redaction (OpenGGF plan 3fd4813b978fce198b5e24be2f71c26f28d37c87)
